apt_nm,can,plastic,glass,paper,scrapmetal
동백아파트 1동,0.3,1.5,0.3,0,0.3
동백아파트 4동,0.3,1.4,0.2,0,0.2
동백아파트 8동,3.6,16.5,2.3,0.4,2.7
동백아파트 14동,0.5,2.5,0.3,0.1,0.4
목련빌라 1동,3.6,16.4,2.3,0.4,2.7
목련빌라 11동,0.7,3.3,0.5,0.1,0.5
목련빌라 26동,3.5,15.7,2.2,0.3,2.6
목련빌라 33동,3.4,15.8,2.1,0.3,2.5
목련빌라 35동,0.5,2.1,0.3,0.1,0.3
장미아파트 2동,0.5,2.3,0.3,0.1,0.4
장미아파트 7동,0.4,1.8,0.3,0,0.3
장미아파트 14동,4.1,18.6,2.6,0.4,3.1
장미아파트 16동,0.7,3.1,0.4,0.1,0.5
장미아파트 21동,0.7,3,0.4,0.1,0.5
장미아파트 25동,0.4,1.6,0.2,0,0.3
장미연립 8동,1.1,4.9,0.7,0.1,0.8
목련연립 9동,0.6,2.9,0.4,0.1,0.5
목련연립 15동,0.6,2.8,0.4,0.1,0.5
목련연립 22동,1.7,7.8,1.1,0.2,1.3
목련연립 26동,0.8,3.4,0.5,0.1,0.6
목련연립 38동,0.6,2.6,0.4,0.1,0.4
백합아파트 3동 ,0.6,2.6,0.4,0.1,0.4
백합아파트 7동,0.5,2.3,0.3,0.1,0.4
백합아파트 17동,0.8,3.5,0.5,0.1,0.6
백합아파트 29동,4.3,19.4,2.7,0.4,3.2
백합아파트 35동,4.4,19.8,2.7,0.4,3.4
백합아파트 39동,0.9,4,0.6,0.1,0.7
백합아파트 46동,1.1,4.8,0.7,0.1,0.8
매화연립 3동,1,4.7,0.7,0.1,0.8
매화연립 8동,1,4.5,0.6,0.1,0.7
매화연립 15동,4.3,19.3,2.7,0.4,3.2
매화연립 23동,4.2,18.9,2.6,0.4,3
사랑아파트 1동,3.3,14.9,2.1,0.3,2.5
사랑아파트 2동,4.8,19.9,2.8,0.3,3.3
사랑아파트 5동,2.9,13.1,1.8,0.3,2.2
사랑아파트 7동,2.8,12.8,1.8,0.3,2.1
사랑아파트 10동,1.9,8.6,1.2,0.2,1.4
사랑아파트 12동,4.9,22.4,3.1,0.5,3.7
초원아파트 8동,4.7,21.1,2.9,0.5,3.5
초원아파트 11동,3.1,13.9,1.9,0.3,2.3
송죽아파트 1동,0.3,1.2,0.2,0,0.2
송죽아파트 2동,0.2,1.1,0.2,0,0.2